Fri Aug 24 09:34:27 2018 Temp: 32 C, Humidity: 43 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:35:01 2018 Temp: 32 C, Humidity: 43 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:35:36 2018 Temp: 32 C, Humidity: 42 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:36:11 2018 Temp: 33 C, Humidity: 42 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:36:45 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:37:20 2018 Temp: 33 C, Humidity: 42 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:37:55 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:38:29 2018 Temp: 33 C, Humidity: 42 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:39:04 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:39:38 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:40:13 2018 Temp: 33 C, Humidity: 42 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:40:48 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:41:22 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:41:57 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:42:32 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:43:06 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:43:41 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:44:16 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:44:50 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:45:25 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:46:00 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:46:34 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:47:09 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:47:44 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:48:18 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:48:53 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:49:27 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:50:02 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:50:37 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
